tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-0403,Miami Masters,Hard,128,M,20220321,295,202103,,,Francisco Cerundolo,R,185.0,ARG,23.6,206173,9.0,,Jannik Sinner,R,188.0,ITA,20.5,4-1 RET,3,QF,22.0,3.0,2.0,20.0,15.0,11.0,3.0,3.0,1.0,1.0,1.0,0.0,13.0,6.0,4.0,3.0,2.0,0.0,1.0,103.0,668.0,11.0,3474.0
2022-0403,Miami Masters,Hard,128,M,20220321,294,134770,6.0,,Casper Ruud,R,183.0,NOR,23.2,100644,2.0,,Alexander Zverev,R,198.0,GER,24.9,6-3 1-6 6-3,3,QF,98.0,6.0,0.0,63.0,47.0,37.0,10.0,13.0,2.0,4.0,10.0,1.0,66.0,44.0,35.0,12.0,12.0,3.0,5.0,8.0,3870.0,4.0,7025.0
2022-0403,Miami Masters,Hard,128,M,20220321,293,106421,1.0,,Daniil Medvedev,R,198.0,RUS,26.1,202385,,,Jenson Brooksby,R,188.0,USA,21.3,7-5 6-1,3,R16,78.0,8.0,4.0,58.0,40.0,34.0,7.0,10.0,2.0,3.0,0.0,1.0,46.0,33.0,18.0,6.0,9.0,0.0,4.0,2.0,8410.0,39.0,1195.0
2022-0403,Miami Masters,Hard,128,M,20220321,292,128034,8.0,,Hubert Hurkacz,R,196.0,POL,25.1,144750,,,Lloyd Harris,R,193.0,RSA,25.0,7-6(3) 6-2,3,R16,89.0,9.0,1.0,60.0,39.0,31.0,12.0,10.0,3.0,4.0,6.0,0.0,64.0,38.0,24.0,11.0,10.0,1.0,4.0,10.0,3513.0,44.0,1101.0
2022-0403,Miami Masters,Hard,128,M,20220321,291,207989,14.0,,Carlos Alcaraz,R,185.0,ESP,18.8,126774,3.0,,Stefanos Tsitsipas,R,193.0,GRE,23.6,7-5 6-3,3,R16,110.0,1.0,2.0,72.0,50.0,37.0,10.0,10.0,7.0,8.0,5.0,1.0,78.0,46.0,34.0,9.0,11.0,7.0,11.0,16.0,2414.0,5.0,6070.0
2022-0403,Miami Masters,Hard,128,M,20220321,290,200175,,,Miomir Kecmanovic,R,183.0,SRB,22.5,126203,11.0,,Taylor Fritz,R,193.0,USA,24.3,3-6 6-1 6-4,3,R16,126.0,6.0,2.0,97.0,70.0,51.0,12.0,13.0,5.0,6.0,8.0,1.0,88.0,60.0,42.0,14.0,13.0,5.0,8.0,48.0,1056.0,13.0,2920.0
2022-0403,Miami Masters,Hard,128,M,20220321,289,206173,9.0,,Jannik Sinner,R,188.0,ITA,20.5,106401,,WC,Nick Kyrgios,R,193.0,AUS,26.8,7-6(3) 6-3,3,R16,99.0,8.0,4.0,70.0,46.0,38.0,11.0,10.0,2.0,2.0,7.0,4.0,71.0,45.0,31.0,13.0,11.0,2.0,4.0,11.0,3474.0,102.0,673.0
2022-0403,Miami Masters,Hard,128,M,20220321,288,202103,,,Francisco Cerundolo,R,185.0,ARG,23.6,126207,28.0,,Frances Tiafoe,R,188.0,USA,24.1,6-7(2) 7-6(3) 6-2,3,R16,156.0,5.0,3.0,94.0,70.0,49.0,13.0,16.0,4.0,7.0,3.0,5.0,112.0,53.0,35.0,29.0,16.0,7.0,12.0,103.0,668.0,31.0,1453.0
2022-0403,Miami Masters,Hard,128,M,20220321,287,134770,6.0,,Casper Ruud,R,183.0,NOR,23.2,111815,10.0,,Cameron Norrie,L,188.0,GBR,26.5,6-3 6-4,3,R16,92.0,7.0,1.0,68.0,39.0,33.0,10.0,10.0,2.0,3.0,5.0,3.0,53.0,28.0,19.0,12.0,9.0,5.0,8.0,8.0,3870.0,12.0,3395.0
2022-0403,Miami Masters,Hard,128,M,20220321,286,100644,2.0,,Alexander Zverev,R,198.0,GER,24.9,106423,,Q,Thanasi Kokkinakis,R,196.0,AUS,25.9,6-4 6-4,3,R16,96.0,4.0,2.0,50.0,35.0,31.0,9.0,10.0,0.0,0.0,8.0,3.0,73.0,41.0,32.0,12.0,10.0,6.0,8.0,4.0,7025.0,97.0,700.0
2022-0403,Miami Masters,Hard,128,M,20220321,285,106421,1.0,,Daniil Medvedev,R,198.0,RUS,26.1,124079,,,Pedro Martinez,R,185.0,ESP,24.9,6-3 6-4,3,R32,84.0,14.0,1.0,55.0,39.0,31.0,10.0,10.0,2.0,3.0,0.0,2.0,58.0,36.0,22.0,12.0,9.0,3.0,6.0,2.0,8410.0,47.0,1077.0
2022-0403,Miami Masters,Hard,128,M,20220321,284,202385,,,Jenson Brooksby,R,188.0,USA,21.3,105138,15.0,,Roberto Bautista Agut,R,183.0,ESP,33.9,6-3 5-7 6-4,3,R32,179.0,8.0,0.0,96.0,57.0,36.0,22.0,15.0,6.0,10.0,2.0,1.0,94.0,58.0,36.0,19.0,16.0,6.0,12.0,39.0,1195.0,17.0,2375.0
2022-0403,Miami Masters,Hard,128,M,20220321,283,144750,,,Lloyd Harris,R,193.0,RSA,25.0,106415,,Q,Yoshihito Nishioka,L,170.0,JPN,26.4,7-6(5) 4-6 7-5,3,R32,154.0,19.0,2.0,122.0,82.0,59.0,21.0,17.0,8.0,9.0,2.0,1.0,96.0,68.0,51.0,19.0,17.0,0.0,1.0,44.0,1101.0,96.0,705.0
2022-0403,Miami Masters,Hard,128,M,20220321,282,128034,8.0,,Hubert Hurkacz,R,196.0,POL,25.1,106234,29.0,,Aslan Karatsev,R,185.0,RUS,28.5,7-5 4-6 6-3,3,R32,142.0,24.0,1.0,89.0,63.0,52.0,14.0,16.0,2.0,3.0,6.0,3.0,94.0,53.0,37.0,26.0,15.0,2.0,4.0,10.0,3513.0,32.0,1428.0
2022-0403,Miami Masters,Hard,128,M,20220321,281,126774,3.0,,Stefanos Tsitsipas,R,193.0,GRE,23.6,200282,25.0,,Alex De Minaur,R,183.0,AUS,23.0,6-4 6-3,3,R32,90.0,8.0,1.0,57.0,34.0,28.0,16.0,10.0,3.0,3.0,2.0,3.0,76.0,50.0,32.0,13.0,9.0,4.0,6.0,5.0,6070.0,28.0,1531.0
2022-0403,Miami Masters,Hard,128,M,20220321,280,207989,14.0,,Carlos Alcaraz,R,185.0,ESP,18.8,105227,21.0,,Marin Cilic,R,198.0,CRO,33.4,6-4 6-4,3,R32,95.0,2.0,1.0,55.0,36.0,28.0,13.0,10.0,1.0,1.0,2.0,1.0,66.0,45.0,31.0,10.0,10.0,7.0,9.0,16.0,2414.0,23.0,1785.0
2022-0403,Miami Masters,Hard,128,M,20220321,279,126203,11.0,,Taylor Fritz,R,193.0,USA,24.3,126205,,,Tommy Paul,R,185.0,USA,24.8,7-6(2) 6-4,3,R32,93.0,4.0,1.0,67.0,37.0,30.0,20.0,11.0,2.0,3.0,2.0,2.0,69.0,43.0,29.0,14.0,11.0,0.0,2.0,13.0,2920.0,37.0,1277.0
2022-0403,Miami Masters,Hard,128,M,20220321,278,200175,,,Miomir Kecmanovic,R,183.0,SRB,22.5,200624,,,Sebastian Korda,R,196.0,USA,21.7,7-6(4) 6-3,3,R32,88.0,4.0,3.0,71.0,49.0,39.0,11.0,11.0,2.0,3.0,11.0,3.0,65.0,41.0,27.0,14.0,10.0,5.0,7.0,48.0,1056.0,38.0,1269.0
2022-0403,Miami Masters,Hard,128,M,20220321,277,106401,,WC,Nick Kyrgios,R,193.0,AUS,26.8,104926,31.0,,Fabio Fognini,R,178.0,ITA,34.8,6-2 6-4,3,R32,61.0,10.0,1.0,44.0,34.0,29.0,7.0,9.0,0.0,0.0,2.0,3.0,53.0,31.0,20.0,11.0,9.0,3.0,6.0,102.0,673.0,34.0,1339.0
2022-0403,Miami Masters,Hard,128,M,20220321,276,206173,9.0,,Jannik Sinner,R,188.0,ITA,20.5,105807,17.0,,Pablo Carreno Busta,R,188.0,ESP,30.6,5-7 7-5 7-5,3,R32,191.0,15.0,1.0,140.0,85.0,57.0,27.0,18.0,13.0,17.0,3.0,1.0,94.0,59.0,40.0,17.0,18.0,2.0,7.0,11.0,3474.0,19.0,2220.0
2022-0403,Miami Masters,Hard,128,M,20220321,275,202103,,,Francisco Cerundolo,R,185.0,ARG,23.6,104792,22.0,,Gael Monfils,R,193.0,FRA,35.5,6-2 6-3,3,R32,69.0,0.0,3.0,52.0,36.0,27.0,10.0,8.0,5.0,5.0,3.0,2.0,48.0,27.0,17.0,9.0,9.0,2.0,6.0,103.0,668.0,24.0,1723.0
2022-0403,Miami Masters,Hard,128,M,20220321,274,126207,28.0,,Frances Tiafoe,R,188.0,USA,24.1,207678,,,Juan Manuel Cerundolo,L,183.0,ARG,20.3,6-3 6-2,3,R32,65.0,3.0,1.0,47.0,32.0,25.0,12.0,9.0,0.0,0.0,2.0,1.0,49.0,32.0,20.0,7.0,8.0,3.0,6.0,31.0,1453.0,122.0,541.0
2022-0403,Miami Masters,Hard,128,M,20220321,273,134770,6.0,,Casper Ruud,R,183.0,NOR,23.2,122330,30.0,,Alexander Bublik,R,196.0,KAZ,24.7,6-3 6-2,3,R32,58.0,3.0,0.0,46.0,33.0,28.0,8.0,9.0,0.0,0.0,5.0,2.0,50.0,31.0,21.0,7.0,8.0,4.0,7.0,8.0,3870.0,33.0,1416.0
2022-0403,Miami Masters,Hard,128,M,20220321,272,111815,10.0,,Cameron Norrie,L,188.0,GBR,26.5,200384,,,Hugo Gaston,L,173.0,FRA,21.4,6-3 7-5,3,R32,115.0,7.0,0.0,72.0,49.0,33.0,12.0,11.0,4.0,6.0,3.0,1.0,81.0,39.0,20.0,22.0,10.0,11.0,15.0,12.0,3395.0,68.0,877.0
2022-0403,Miami Masters,Hard,128,M,20220321,271,106423,,Q,Thanasi Kokkinakis,R,196.0,AUS,25.9,106045,,Q,Denis Kudla,R,180.0,USA,29.5,7-6(5) 4-6 7-6(4),3,R32,167.0,22.0,3.0,102.0,72.0,62.0,14.0,17.0,0.0,2.0,10.0,2.0,113.0,71.0,55.0,26.0,17.0,6.0,7.0,97.0,700.0,84.0,759.0
2022-0403,Miami Masters,Hard,128,M,20220321,270,100644,2.0,,Alexander Zverev,R,198.0,GER,24.9,111456,,,Mackenzie Mcdonald,R,178.0,USA,26.9,6-2 6-2,3,R32,73.0,10.0,1.0,50.0,37.0,27.0,9.0,8.0,1.0,1.0,2.0,1.0,62.0,40.0,24.0,9.0,8.0,4.0,8.0,4.0,7025.0,54.0,981.0
2022-0403,Miami Masters,Hard,128,M,20220321,269,106421,1.0,,Daniil Medvedev,R,198.0,RUS,26.1,104918,,WC,Andy Murray,R,190.0,GBR,34.8,6-4 6-2,3,R64,89.0,4.0,2.0,50.0,32.0,27.0,11.0,9.0,0.0,0.0,1.0,1.0,51.0,26.0,19.0,10.0,9.0,3.0,6.0,2.0,8410.0,85.0,758.0
2022-0403,Miami Masters,Hard,128,M,20220321,268,124079,,,Pedro Martinez,R,185.0,ESP,24.9,106426,27.0,,Cristian Garin,R,185.0,CHI,25.8,7-6(2) 6-2,3,R64,137.0,4.0,3.0,82.0,53.0,35.0,15.0,10.0,4.0,6.0,0.0,1.0,67.0,40.0,21.0,12.0,10.0,2.0,6.0,47.0,1077.0,30.0,1466.0
2022-0403,Miami Masters,Hard,128,M,20220321,267,202385,,,Jenson Brooksby,R,188.0,USA,21.3,105932,18.0,,Nikoloz Basilashvili,R,185.0,GEO,30.0,6-3 6-1,3,R64,69.0,5.0,0.0,59.0,37.0,31.0,9.0,8.0,1.0,2.0,1.0,2.0,47.0,31.0,19.0,4.0,8.0,0.0,5.0,39.0,1195.0,20.0,1916.0
2022-0403,Miami Masters,Hard,128,M,20220321,266,105138,15.0,,Roberto Bautista Agut,R,183.0,ESP,33.9,111794,,,Kamil Majchrzak,R,183.0,POL,26.1,6-3 6-3,3,R64,73.0,2.0,3.0,52.0,31.0,23.0,11.0,9.0,0.0,1.0,5.0,2.0,50.0,29.0,21.0,6.0,9.0,1.0,5.0,17.0,2375.0,75.0,833.0
2022-0403,Miami Masters,Hard,128,M,20220321,265,144750,,,Lloyd Harris,R,193.0,RSA,25.0,133430,12.0,,Denis Shapovalov,L,185.0,CAN,22.9,6-3 6-4,3,R64,79.0,5.0,0.0,47.0,30.0,23.0,12.0,9.0,1.0,2.0,4.0,6.0,66.0,35.0,22.0,15.0,10.0,6.0,10.0,44.0,1101.0,14.0,2863.0
2022-0403,Miami Masters,Hard,128,M,20220321,264,106415,,Q,Yoshihito Nishioka,L,170.0,JPN,26.4,105554,24.0,,Daniel Evans,R,175.0,GBR,31.8,3-6 6-4 6-3,3,R64,138.0,2.0,1.0,100.0,70.0,45.0,18.0,14.0,5.0,8.0,4.0,4.0,80.0,43.0,35.0,15.0,14.0,2.0,6.0,96.0,705.0,27.0,1567.0
2022-0403,Miami Masters,Hard,128,M,20220321,263,106234,29.0,,Aslan Karatsev,R,185.0,RUS,28.5,200005,,,Ugo Humbert,L,188.0,FRA,23.7,7-5 6-2,3,R64,106.0,6.0,6.0,70.0,40.0,28.0,18.0,10.0,3.0,4.0,0.0,2.0,78.0,45.0,25.0,17.0,10.0,4.0,8.0,32.0,1428.0,45.0,1098.0
2022-0403,Miami Masters,Hard,128,M,20220321,262,128034,8.0,,Hubert Hurkacz,R,196.0,POL,25.1,126239,,,Arthur Rinderknech,R,196.0,FRA,26.6,7-6(5) 6-2,3,R64,97.0,17.0,0.0,63.0,50.0,39.0,9.0,10.0,1.0,1.0,5.0,1.0,78.0,53.0,40.0,10.0,10.0,3.0,5.0,10.0,3513.0,58.0,940.0
2022-0403,Miami Masters,Hard,128,M,20220321,261,126774,3.0,,Stefanos Tsitsipas,R,193.0,GRE,23.6,200670,,Q,J J Wolf,R,183.0,USA,23.2,6-4 6-7(5) 6-1,3,R64,121.0,10.0,1.0,78.0,49.0,38.0,17.0,14.0,0.0,2.0,7.0,4.0,87.0,50.0,36.0,17.0,15.0,2.0,8.0,5.0,6070.0,167.0,356.0
2022-0403,Miami Masters,Hard,128,M,20220321,260,200282,25.0,,Alex De Minaur,R,183.0,AUS,23.0,111442,,,Jordan Thompson,R,183.0,AUS,27.9,6-2 6-3,3,R64,68.0,1.0,0.0,40.0,23.0,18.0,12.0,8.0,0.0,1.0,1.0,2.0,48.0,27.0,16.0,7.0,9.0,0.0,5.0,28.0,1531.0,78.0,805.0
2022-0403,Miami Masters,Hard,128,M,20220321,259,105227,21.0,,Marin Cilic,R,198.0,CRO,33.4,200615,,,Alexei Popyrin,R,196.0,AUS,22.6,6-0 6-3,3,R64,53.0,6.0,1.0,42.0,26.0,22.0,10.0,8.0,0.0,0.0,1.0,0.0,36.0,24.0,15.0,4.0,7.0,1.0,5.0,23.0,1785.0,92.0,711.0
2022-0403,Miami Masters,Hard,128,M,20220321,258,207989,14.0,,Carlos Alcaraz,R,185.0,ESP,18.8,105916,,,Marton Fucsovics,R,188.0,HUN,30.1,6-3 6-2,3,R64,81.0,2.0,3.0,55.0,35.0,29.0,11.0,9.0,3.0,3.0,1.0,2.0,58.0,36.0,24.0,10.0,8.0,3.0,6.0,16.0,2414.0,55.0,977.0
2022-0403,Miami Masters,Hard,128,M,20220321,257,126203,11.0,,Taylor Fritz,R,193.0,USA,24.3,105062,,Q,Mikhail Kukushkin,R,183.0,KAZ,34.2,6-3 5-7 6-3,3,R64,126.0,10.0,0.0,75.0,48.0,41.0,16.0,15.0,0.0,1.0,0.0,1.0,92.0,63.0,44.0,12.0,15.0,8.0,11.0,13.0,2920.0,159.0,369.0
2022-0403,Miami Masters,Hard,128,M,20220321,256,126205,,,Tommy Paul,R,185.0,USA,24.8,111575,23.0,,Karen Khachanov,R,198.0,RUS,25.8,6-4 3-6 7-6(3),3,R64,144.0,6.0,4.0,87.0,55.0,41.0,16.0,15.0,2.0,5.0,6.0,3.0,110.0,74.0,47.0,21.0,16.0,13.0,16.0,37.0,1277.0,25.0,1623.0
2022-0403,Miami Masters,Hard,128,M,20220321,255,200624,,,Sebastian Korda,R,196.0,USA,21.7,105077,32.0,,Albert Ramos,L,188.0,ESP,34.1,4-6 7-6(6) 6-3,3,R64,160.0,9.0,2.0,99.0,64.0,46.0,17.0,15.0,4.0,8.0,3.0,0.0,108.0,79.0,50.0,14.0,16.0,11.0,16.0,38.0,1269.0,35.0,1314.0
2022-0403,Miami Masters,Hard,128,M,20220321,254,200175,,,Miomir Kecmanovic,R,183.0,SRB,22.5,200000,7.0,,Felix Auger Aliassime,R,193.0,CAN,21.6,6-4 6-2,3,R64,93.0,4.0,1.0,59.0,33.0,25.0,18.0,9.0,5.0,5.0,5.0,4.0,58.0,34.0,21.0,10.0,9.0,3.0,6.0,48.0,1056.0,9.0,3803.0
2022-0403,Miami Masters,Hard,128,M,20220321,253,106401,,WC,Nick Kyrgios,R,193.0,AUS,26.8,126094,5.0,,Andrey Rublev,R,188.0,RUS,24.4,6-3 6-0,3,R64,52.0,10.0,0.0,54.0,43.0,30.0,5.0,8.0,2.0,3.0,5.0,3.0,39.0,20.0,13.0,4.0,7.0,2.0,7.0,102.0,673.0,7.0,4725.0
2022-0403,Miami Masters,Hard,128,M,20220321,252,104926,31.0,,Fabio Fognini,R,178.0,ITA,34.8,106121,,Q,Taro Daniel,R,191.0,JPN,29.1,6-7(1) 6-2 7-6(5),3,R64,171.0,9.0,7.0,115.0,71.0,50.0,21.0,16.0,8.0,12.0,9.0,1.0,104.0,67.0,46.0,16.0,16.0,4.0,10.0,34.0,1339.0,106.0,641.0
2022-0403,Miami Masters,Hard,128,M,20220321,251,105807,17.0,,Pablo Carreno Busta,R,188.0,ESP,30.6,105676,,,David Goffin,R,180.0,BEL,31.2,6-3 6-2,3,R64,69.0,1.0,1.0,48.0,32.0,24.0,13.0,9.0,0.0,0.0,4.0,2.0,48.0,36.0,23.0,3.0,8.0,2.0,5.0,19.0,2220.0,70.0,863.0
2022-0403,Miami Masters,Hard,128,M,20220321,250,206173,9.0,,Jannik Sinner,R,188.0,ITA,20.5,200325,,,Emil Ruusuvuori,R,188.0,FIN,22.9,6-4 3-6 7-6(8),3,R64,160.0,3.0,2.0,101.0,63.0,49.0,15.0,15.0,6.0,8.0,4.0,4.0,98.0,66.0,45.0,19.0,16.0,2.0,4.0,11.0,3474.0,71.0,862.0
2022-0403,Miami Masters,Hard,128,M,20220321,249,202103,,,Francisco Cerundolo,R,185.0,ARG,23.6,124187,16.0,,Reilly Opelka,R,211.0,USA,24.5,6-1 3-1 RET,3,R64,43.0,2.0,0.0,27.0,18.0,14.0,7.0,5.0,2.0,2.0,1.0,2.0,38.0,25.0,15.0,3.0,6.0,3.0,7.0,103.0,668.0,18.0,2246.0
2022-0403,Miami Masters,Hard,128,M,20220321,248,104792,22.0,,Gael Monfils,R,193.0,FRA,35.5,106214,,,Oscar Otte,R,196.0,GER,28.6,7-6(9) 6-1,3,R64,92.0,8.0,7.0,65.0,38.0,32.0,17.0,10.0,0.0,0.0,4.0,2.0,68.0,41.0,28.0,14.0,9.0,2.0,4.0,24.0,1723.0,74.0,836.0
2022-0403,Miami Masters,Hard,128,M,20220321,247,126207,28.0,,Frances Tiafoe,R,188.0,USA,24.1,206909,,,Brandon Nakashima,R,185.0,USA,20.6,3-6 7-6(5) 6-4,3,R64,130.0,14.0,1.0,89.0,59.0,49.0,14.0,15.0,1.0,2.0,7.0,2.0,85.0,55.0,44.0,22.0,16.0,1.0,2.0,31.0,1453.0,80.0,798.0
2022-0403,Miami Masters,Hard,128,M,20220321,246,207678,,,Juan Manuel Cerundolo,L,183.0,ARG,20.3,104731,,LL,Kevin Anderson,R,203.0,RSA,35.8,7-6(7) 3-6 6-3,3,R64,138.0,1.0,0.0,99.0,75.0,51.0,14.0,15.0,4.0,6.0,9.0,1.0,86.0,51.0,42.0,18.0,15.0,2.0,4.0,122.0,541.0,91.0,719.0
2022-0403,Miami Masters,Hard,128,M,20220321,245,134770,6.0,,Casper Ruud,R,183.0,NOR,23.2,105967,,,Henri Laaksonen,R,185.0,SUI,29.9,6-1 6-2,3,R64,50.0,5.0,1.0,39.0,29.0,25.0,7.0,8.0,0.0,0.0,2.0,1.0,38.0,13.0,7.0,11.0,7.0,2.0,6.0,8.0,3870.0,86.0,744.0
2022-0403,Miami Masters,Hard,128,M,20220321,244,122330,30.0,,Alexander Bublik,R,196.0,KAZ,24.7,123755,,Q,Daniel Elahi Galan,R,191.0,COL,25.7,6-7(7) 6-3 6-4,3,R64,129.0,11.0,13.0,94.0,54.0,42.0,19.0,16.0,5.0,9.0,1.0,0.0,109.0,70.0,40.0,20.0,15.0,6.0,12.0,33.0,1416.0,118.0,554.0
2022-0403,Miami Masters,Hard,128,M,20220321,243,200384,,,Hugo Gaston,L,173.0,FRA,21.4,104545,20.0,,John Isner,R,206.0,USA,36.9,7-6(5) 6-4,3,R64,94.0,4.0,1.0,70.0,46.0,35.0,18.0,11.0,5.0,5.0,22.0,2.0,71.0,48.0,40.0,9.0,11.0,8.0,9.0,68.0,877.0,22.0,1846.0
2022-0403,Miami Masters,Hard,128,M,20220321,242,111815,10.0,,Cameron Norrie,L,188.0,GBR,26.5,207733,,WC,Jack Draper,L,191.0,GBR,20.2,7-6(5) 6-4,3,R64,123.0,9.0,1.0,84.0,55.0,40.0,17.0,11.0,7.0,8.0,6.0,3.0,68.0,36.0,26.0,18.0,11.0,0.0,2.0,12.0,3395.0,146.0,435.0
2022-0403,Miami Masters,Hard,128,M,20220321,241,106423,,Q,Thanasi Kokkinakis,R,196.0,AUS,25.9,106043,13.0,,Diego Schwartzman,R,170.0,ARG,29.5,4-6 7-6(3) 6-4,3,R64,185.0,8.0,3.0,107.0,68.0,51.0,13.0,16.0,5.0,10.0,0.0,5.0,98.0,61.0,36.0,21.0,16.0,6.0,11.0,97.0,700.0,15.0,2660.0
2022-0403,Miami Masters,Hard,128,M,20220321,240,106045,,Q,Denis Kudla,R,180.0,USA,29.5,132283,19.0,,Lorenzo Sonego,R,191.0,ITA,26.8,3-6 7-6(5) 6-4,3,R64,149.0,2.0,3.0,99.0,67.0,46.0,17.0,15.0,4.0,7.0,14.0,2.0,87.0,54.0,42.0,19.0,16.0,0.0,3.0,84.0,759.0,21.0,1902.0
2022-0403,Miami Masters,Hard,128,M,20220321,239,111456,,,Mackenzie Mcdonald,R,178.0,USA,26.9,105777,26.0,,Grigor Dimitrov,R,188.0,BUL,30.8,6-1 6-4,3,R64,72.0,1.0,2.0,57.0,36.0,26.0,14.0,9.0,0.0,0.0,2.0,0.0,43.0,29.0,18.0,8.0,8.0,0.0,3.0,54.0,981.0,29.0,1471.0
2022-0403,Miami Masters,Hard,128,M,20220321,238,100644,2.0,,Alexander Zverev,R,198.0,GER,24.9,106432,,PR,Borna Coric,R,188.0,CRO,25.3,6-4 3-6 6-3,3,R64,121.0,12.0,1.0,75.0,55.0,45.0,11.0,14.0,1.0,2.0,2.0,0.0,78.0,51.0,33.0,20.0,14.0,1.0,3.0,4.0,7025.0,166.0,359.0
2022-0403,Miami Masters,Hard,128,M,20220321,236,104918,,WC,Andy Murray,R,190.0,GBR,34.8,105643,,,Federico Delbonis,L,190.0,ARG,31.4,7-6(4) 6-1,3,R128,93.0,9.0,1.0,52.0,40.0,35.0,6.0,9.0,0.0,0.0,4.0,5.0,60.0,34.0,30.0,7.0,10.0,1.0,4.0,85.0,758.0,36.0,1302.0
2022-0403,Miami Masters,Hard,128,M,20220321,235,124079,,,Pedro Martinez,R,185.0,ESP,24.9,105526,,,Jan Lennard Struff,R,193.0,GER,31.9,6-3 2-0 RET,3,R128,55.0,3.0,0.0,36.0,28.0,21.0,5.0,6.0,2.0,2.0,3.0,4.0,30.0,14.0,10.0,6.0,5.0,0.0,2.0,47.0,1077.0,56.0,974.0
2022-0403,Miami Masters,Hard,128,M,20220321,232,202385,,,Jenson Brooksby,R,188.0,USA,21.3,105948,,,Federico Coria,R,180.0,ARG,30.0,3-6 6-2 6-3,3,R128,126.0,3.0,0.0,76.0,48.0,28.0,12.0,13.0,2.0,8.0,0.0,0.0,79.0,56.0,23.0,14.0,13.0,4.0,12.0,39.0,1195.0,60.0,911.0
2022-0403,Miami Masters,Hard,128,M,20220321,231,111794,,,Kamil Majchrzak,R,183.0,POL,26.1,202104,,,Sebastian Baez,R,170.0,ARG,21.2,6-4 6-3,3,R128,74.0,4.0,1.0,61.0,38.0,29.0,11.0,10.0,7.0,8.0,2.0,1.0,49.0,36.0,25.0,4.0,9.0,3.0,6.0,75.0,833.0,66.0,889.0
2022-0403,Miami Masters,Hard,128,M,20220321,228,144750,,,Lloyd Harris,R,193.0,RSA,25.0,105487,,,Facundo Bagnis,L,183.0,ARG,32.0,6-3 6-3,3,R128,81.0,9.0,4.0,73.0,47.0,35.0,12.0,9.0,5.0,5.0,2.0,1.0,43.0,20.0,13.0,13.0,9.0,0.0,3.0,44.0,1101.0,104.0,657.0
2022-0403,Miami Masters,Hard,128,M,20220321,227,106415,,Q,Yoshihito Nishioka,L,170.0,JPN,26.4,105877,,Q,Emilio Gomez,R,185.0,ECU,30.3,6-2 6-7(2) 6-1,3,R128,124.0,1.0,0.0,89.0,66.0,43.0,14.0,14.0,1.0,2.0,6.0,3.0,74.0,42.0,30.0,16.0,13.0,1.0,6.0,96.0,705.0,145.0,437.0
2022-0403,Miami Masters,Hard,128,M,20220321,224,200005,,,Ugo Humbert,L,188.0,FRA,23.7,105379,,PR,Aljaz Bedene,R,181.0,SLO,32.6,6-3 3-6 6-3,3,R128,115.0,5.0,3.0,71.0,48.0,35.0,15.0,14.0,0.0,2.0,10.0,4.0,80.0,51.0,36.0,15.0,13.0,4.0,7.0,45.0,1098.0,141.0,450.0
2022-0403,Miami Masters,Hard,128,M,20220321,223,126239,,,Arthur Rinderknech,R,196.0,FRA,26.6,111513,,,Laslo Djere,R,188.0,SRB,26.8,6-2 7-6(6),3,R128,100.0,4.0,1.0,77.0,48.0,42.0,14.0,10.0,7.0,7.0,5.0,1.0,55.0,36.0,27.0,13.0,10.0,3.0,5.0,58.0,940.0,53.0,986.0
2022-0403,Miami Masters,Hard,128,M,20220321,220,200670,,Q,J J Wolf,R,183.0,USA,23.2,127157,,,Daniel Altmaier,R,191.0,GER,23.5,6-4 6-4,3,R128,87.0,4.0,2.0,57.0,32.0,26.0,15.0,10.0,2.0,3.0,5.0,3.0,54.0,29.0,23.0,10.0,10.0,2.0,5.0,167.0,356.0,69.0,868.0
2022-0403,Miami Masters,Hard,128,M,20220321,219,111442,,,Jordan Thompson,R,183.0,AUS,27.9,104542,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,36.9,6-7(1) 6-4 6-4,3,R128,158.0,7.0,1.0,93.0,62.0,47.0,18.0,16.0,3.0,4.0,6.0,0.0,105.0,59.0,45.0,24.0,16.0,10.0,13.0,78.0,805.0,225.0,245.0
2022-0403,Miami Masters,Hard,128,M,20220321,216,200615,,,Alexei Popyrin,R,196.0,AUS,22.6,207518,,,Lorenzo Musetti,R,185.0,ITA,20.0,7-5 7-6(5),3,R128,113.0,5.0,4.0,86.0,53.0,45.0,12.0,12.0,2.0,3.0,6.0,2.0,76.0,52.0,36.0,15.0,12.0,5.0,7.0,92.0,711.0,76.0,826.0
